year,t_sum,ws_sum,t_col,ws_col
1979,-27.915082,45.980178,-21.746303,41.399959
1979,-27.978324,44.702803,-22.140847,40.214818
1979,-30.54006,47.925381,-25.478364,38.556161
1979,-30.608939,44.682139,-25.270546,34.64006
1979,-31.755392,47.714194,-26.060767,38.335912
1979,-32.540864,38.790496,-27.413059,29.702396
1979,-34.049258,28.56077,-28.83345,19.268394
1979,-34.285494,16.772503,-29.323702,6.460303
1979,-33.865282,1.241816,-27.697768,3.856144
1979,-36.476889,10.974124,-29.71861,14.272725
1979,-36.609799,9.994866,-30.053034,15.077666
1979,-35.975503,5.690191,-28.929487,9.393891
1979,-34.556599,8.297916,-27.433117,8.63278
1979,-34.294761,12.555827,-27.060259,9.046096
1979,-33.449777,18.028438,-26.251388,13.839743
1979,-33.389831,20.175642,-26.010606,16.945924
1979,-32.395196,19.205963,-25.520402,17.566352
1979,-33.573746,8.838386,-27.178158,6.979351
1979,-34.908382,17.343049,-28.546181,11.579694
1979,-33.88945,20.066449,-27.13547,16.084349
1979,-32.469632,18.19649,-26.256775,11.671367
1979,-32.029776,16.287409,-25.253114,13.014348
1979,-32.688348,14.843134,-25.139598,14.432041
1979,-33.460006,17.151826,-26.03153,17.293832
1979,-32.521654,16.684836,-25.083928,15.513464
1979,-32.474883,15.977085,-25.256586,16.281195
1979,-33.510854,16.381106,-26.149553,15.909401
1979,-33.374802,15.635397,-26.331466,14.329869
1979,-32.64184,12.777073,-25.660239,11.039375
1979,-33.333651,8.589511,-26.451628,6.062669
1979,-34.395124,10.278484,-27.595678,5.593191
1979,-33.854137,10.266557,-26.688332,8.380352
1979,-33.514011,8.03996,-26.367003,7.176547
1979,-34.052801,5.053708,-27.070592,4.545137
1979,-34.627397,3.688142,-27.51898,3.181111
1979,-33.623882,1.790183,-26.478037,1.035787
1979,-33.045591,6.016997,-25.995224,3.940828
1979,-33.354362,4.597043,-26.123602,2.858847
1979,-33.622263,3.367901,-26.442017,2.513386
1979,-32.136368,8.707443,-25.548468,6.240392
1979,-30.901911,10.390191,-24.41707,8.232099
1979,-31.93719,7.490291,-25.112215,6.09512
1979,-32.565068,8.934307,-25.674261,6.033195
1979,-31.663715,11.649683,-25.006439,10.468639
1979,-30.998352,10.522101,-24.561015,10.489261
1979,-30.723736,9.419718,-24.71507,7.332456
1979,-32.612127,10.225812,-26.0952,8.018778
1979,-31.982629,7.941151,-26.029115,6.761854
1979,-30.707587,9.925485,-24.637394,8.723338
1979,-32.18848,11.805907,-25.432272,11.04011
1979,-33.649918,9.642243,-27.810281,8.644289
1979,-32.308077,5.588064,-27.235493,3.861643
1979,-31.163542,4.774654,-25.461734,4.395154
1979,-30.796428,0.852665,-25.043824,2.604004
1979,-30.628998,3.073712,-25.02012,1.664728
1979,-29.272258,3.960401,-24.329079,3.564422
1979,-28.498911,6.63167,-22.49617,5.285003
1979,-28.608794,3.178825,-22.941825,1.121466
1979,-27.647155,9.093874,-22.759637,5.347764
1979,-25.635465,16.112281,-21.786039,9.978941
1979,-26.232748,12.323662,-21.538579,8.466283
1979,-27.59389,9.71759,-22.20026,6.115421
1979,-28.560373,15.592056,-22.373769,11.771429
1979,-29.447049,19.262758,-23.218444,15.462784
1979,-29.222844,17.734379,-23.419366,14.635859
1979,-30.092154,14.542717,-24.124407,11.74916
1979,-30.710218,17.166287,-24.643137,13.3021
1979,-30.936256,14.215897,-24.474008,11.615007
1979,-30.91172,13.75994,-24.506742,12.148059
1979,-32.844915,15.860722,-26.146798,13.375835
1979,-34.096076,20.306836,-28.492884,15.068386
1979,-33.818346,19.692491,-28.556451,15.473089
1979,-33.799379,13.701147,-27.839728,9.956011
1979,-35.14823,3.296372,-28.364462,2.020177
1979,-36.159698,1.354949,-28.870374,3.065646
1979,-35.916317,5.170292,-28.524013,3.264197
1979,-34.783658,2.938431,-27.634893,5.003183
1979,-36.492999,2.524242,-29.004163,3.82189
1979,-36.765413,5.552388,-29.109873,4.831731
1979,-35.724956,9.406731,-28.433041,9.53518
1979,-33.685012,8.442893,-26.332129,8.52817
1979,-33.822144,9.183303,-26.495483,9.065489
1979,-34.116194,9.610534,-27.089579,10.364062
1979,-33.362689,6.1302,-26.53683,5.855627
1979,-31.669831,8.465103,-25.03038,6.070099
1979,-32.150457,7.043604,-25.520129,3.596842
1979,-32.257082,5.022587,-25.793948,3.407347
1979,-31.586503,9.952079,-24.586544,8.904797
1979,-30.377339,12.336824,-23.178264,11.399687
1979,-30.635273,9.848058,-23.326786,10.129308
1979,-30.52303,6.848974,-23.521033,6.221373
1979,-29.652983,9.450689,-22.393319,8.0318
1979,-27.970425,9.726982,-20.920043,8.795337
1979,-28.454973,11.979352,-21.557587,11.133271
1979,-28.189505,6.869714,-21.135036,6.027921
1979,-27.771092,3.856944,-20.810419,3.460355
1979,-27.029182,1.373848,-20.096463,1.297259
1979,-28.140288,4.991551,-21.346598,5.601645
1979,-29.375078,9.72415,-22.486818,8.444715
1979,-29.007086,9.424394,-22.339087,7.724985
1979,-28.335952,6.741436,-21.614683,5.720131
1979,-28.107743,6.866905,-21.981267,5.190941
1979,-28.905945,9.05502,-22.487271,5.445999
1979,-27.88468,7.650117,-22.108188,6.617887
1979,-26.445416,8.371525,-21.393554,5.903353
1979,-26.88412,8.562869,-21.907772,3.613256
1979,-27.380599,11.388036,-22.376092,7.045991
1979,-27.297349,14.378702,-21.471361,14.890853
1979,-28.246413,16.252151,-21.042407,15.598151
1979,-28.876556,15.400691,-21.321193,13.455206
1979,-28.887256,21.298412,-21.420331,16.874004
1979,-27.333759,22.084507,-20.013946,16.958501
1979,-26.419602,24.085864,-19.001206,21.59514
1979,-25.971415,21.442743,-18.578009,19.788697
1979,-26.227461,25.540766,-18.883029,21.353874
1979,-25.931579,24.20075,-18.339732,22.743725
1979,-26.059718,26.40679,-18.658834,24.588627
1979,-26.621738,29.043867,-19.062792,25.977339
1979,-27.155315,31.492187,-20.386536,27.649253
1979,-27.066866,31.648013,-20.589927,27.540701
1979,-26.98671,39.771171,-20.852296,34.374384
1979,-27.558936,43.538669,-21.430581,36.444991
1979,-29.068758,42.55034,-23.51771,35.784096
1979,-29.87991,35.99577,-24.609141,28.487732
1979,-29.98609,35.233443,-25.625779,28.471113
1979,-29.96766,33.492375,-25.330272,27.043423
1979,-31.688842,34.133827,-25.896463,28.962114
1979,-33.206307,29.069519,-26.864274,25.567711
1979,-31.739131,28.738515,-26.295183,25.012925
1979,-32.966304,21.61266,-27.043185,15.741878
1979,-34.249726,16.192482,-28.512111,10.206262
1979,-34.771444,13.962683,-27.858254,12.156464
1979,-32.507313,11.251854,-25.062467,11.077685
1979,-32.775214,8.796549,-25.395642,7.11884
1979,-32.24283,8.961916,-24.733798,8.847509
1979,-31.377408,11.82851,-23.841927,10.849429
1979,-30.366278,12.619153,-22.919571,12.074994
1979,-30.074079,6.769301,-23.198629,8.278531
1979,-30.283087,7.276488,-23.214199,6.976337
1979,-29.578124,9.424452,-22.329914,7.464927
1979,-28.913632,11.66362,-21.740162,11.712376
1979,-27.488659,8.474429,-21.270826,7.835448
1979,-27.211989,10.359518,-20.881715,8.425526
1979,-24.903174,15.812971,-19.773451,12.662695
1979,-22.341796,20.086645,-17.114081,16.433284
1979,-22.711522,18.466185,-16.638291,15.878549
1979,-23.486515,20.909601,-17.370176,18.896345
1979,-23.19356,23.627488,-17.292033,19.79233
1979,-22.47098,25.139143,-16.804972,23.462772
1979,-22.727285,21.383952,-16.803817,19.854984
1979,-22.961374,22.073879,-17.500429,20.505446
1979,-22.753726,22.172692,-17.125392,19.887565
1979,-22.154777,20.744072,-17.082542,19.275631
1979,-21.920199,19.787807,-16.454813,17.5473
1979,-22.466949,20.806226,-17.010858,18.430615
1979,-21.51666,20.784535,-15.958255,16.852109
1979,-21.618825,22.333841,-16.099975,18.067444
1979,-21.870199,20.533178,-16.336027,16.696733
1979,-21.877384,21.812542,-16.277284,18.59961
1979,-21.455338,20.270243,-16.001887,16.60975
1979,-21.464739,17.056984,-15.735847,15.669354
1979,-21.471008,12.626783,-15.337449,11.501683
1979,-22.26488,12.151196,-16.127799,12.78667
1979,-21.828957,14.195516,-16.001302,14.494064
1979,-21.116491,14.250621,-15.315763,13.971172
1979,-20.587008,11.074837,-14.652431,11.472381
1979,-21.244651,12.133422,-15.208976,11.208481
1979,-21.701862,12.911595,-15.530189,11.598777
1979,-21.467725,13.723673,-15.152936,13.146212
1979,-21.690319,13.465519,-15.323275,13.578805
1979,-21.930675,16.435102,-15.669894,16.0108
1979,-21.533374,18.830596,-15.506237,17.399708
1979,-20.97805,20.742519,-15.106545,18.748039
1979,-21.238769,21.563148,-15.443277,18.645662
1979,-21.708818,24.4375,-16.59371,21.372716
1979,-21.076024,27.52079,-16.432345,22.275003
1979,-20.832689,31.000037,-16.164883,25.362454
1979,-21.582753,29.898981,-17.371424,21.808703
1979,-23.564852,24.830691,-19.992452,17.051695
1979,-25.026186,14.653153,-21.573554,8.66274
1979,-26.476615,8.759104,-20.320695,9.576803
