elev,lat,lon,yrst,yrstp,notes
1026.6,47.08,6.79,2004,2019,
1973,46.55,7.01,1990,2019,
448.1,47.4,8.64,2004,2019,
1018.1,47.08,6.8,1980,2019,
426.7,47.09,8.3,2005,2019,
579.1,46.74,8.11,2005,2019,
1050,46.98,6.61,2013,2019,
1210,46.83,6.58,1990,2019,
510.2,46.91,7.49,1990,2019,
1706.9,46.53,9.88,2007,2019,
706,46.93,7.8,2011,2019,
445,46.94,8.28,1977,2019,
430.1,47.18,7.41,2004,2019,
431.6,47.47,8.54,1955,2019,
777.8,47.43,9.4,1981,2019,
398.1,47.49,9.56,2004,2019,
497.5,47.02,9.5,2012,2019,
2480,46.85,9.18,2011,2019,
430.1,46.24,6.1,1935,2019,
1670.2,46.43,6.1,1973,2019,
1045.1,46.67,6.31,2002,2019,
2964.3,46.33,7.2,2007,2019,
2479,45.87,7.16,1990,2019,
481.9,46.22,7.32,1955,2019,
482,46.22,7.32,2006,2019,
2733,46.1,7.26,2007,2019,
2885,45.95,7.81,2010,2019,
2284.2,46.65,8.61,1955,2019,
198,46.17,8.88,1955,2019,
278.9,46,8.91,1935,2019,
1601.2,45.93,9.01,2012,2019,
1638,46.47,9.18,1982,2019,
3299,46.42,9.81,1977,2019,
