mid,Alaska,Western Canada and US,Arctic Canada North,Arctic Canada South,Greenland Peripher,Iceland,Svalbard,Scandinavia ,Russian Arctic,North Asia,Central Europe  ,Caucasus and Middle East,Central Asia,South Asia West    ,South Asia East,Low Latitudes,Southern Andes,New Zealand,Antarctic and Subantarctic
8525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
8975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
