,elev,lat,lon,yrst,yrstp
559,5.0,60.3,20.75,1984.0,2003.0
560,27.1,60.2,25.63,2004.0,2019.0
561,3.5,60.283,26.45,2004.0,2019.0
562,15.1,60.3,19.13,2004.0,2019.0
563,7.0,60.4,21.95,2008.0,2012.0
564,24.0,60.2,24.96,2013.0,2019.0
565,53.0,60.85,-0.88,1980.0,2006.0
566,15.0,60.75,-0.85,1973.0,2019.0
567,6.1,59.879,-1.29,1977.0,2019.0
568,228.0,60.533,-1.38,1979.0,2005.0
569,7.0,60.45,-1.26,1981.0,2016.0
570,24.7,60.433,-1.29,1981.0,2019.0
571,285.0,60.733,-0.81,1981.0,2002.0
572,20.0,60.583,-1.26,1981.0,2005.0
573,57.0,59.533,-1.63,1973.0,2019.0
574,11.0,59.367,-2.41,1978.0,2006.0
575,12.0,59.083,-4.4,1973.0,2019.0
576,103.0,59.117,-5.81,1990.0,2009.0
577,13.0,60.117,-2.06,1984.0,2016.0
