elev,lat,lon,yrst,yrstp,notes,reference
285,68.9,25.73,2013,2019,ISD,
106,69.58,28.9,2013,2019,ISD,
341,64.67,28.05,2013,2019,ISD,
181,67.65,24.9,2013,2019,ISD,
3.1,65.67,24.51,2004,2019,ISD,
19,65.38,24.1,2004,2019,ISD,
18.6,65.78,24.59,1952,2019,ISD,
120,65.42,26.96,1996,2019,ISD,
362.8,66.17,29.15,2008,2019,ISD,
264,65.99,29.23,1909,2019,ISD,
2,64.67,24.4,2008,2019,ISD,
7.3,65.03,24.56,2004,2019,ISD,
6,65.03,24.8,1973,2019,ISD,
76.8,64.06,24.71,1992,1995,ISD,
14.3,64.93,25.35,1906,2019,ISD,
3.8,65,25.4,2008,2019,ISD,
224,64.9,29.01,1973,2001,ISD,
9,65.85,24.16,2013,2019,ISD,
161,65.98,26.36,2013,2019,ISD,
340,68,24.23,2013,2019,ISD,
161.5,64.22,27.75,2013,2019,ISD,
121.5,69.05,27.75,2013,2019,ISD,
225.2,64.93,28.75,2001,2019,ISD,
76,69.75,27.01,2013,2019,ISD,
147.2,64.29,27.69,1916,2019,ISD,
25.3,63.72,23.14,1960,2019,ISD,
12,60.17,22.75,2013,2019,ISD,
5,64.33,23.45,1901,2019,ISD,
11,63.43,21.06,1973,2019,ISD,
5.8,63.05,21.76,1917,2019,ISD,
46,63.13,23.05,1973,2019,ISD,
40,63.12,23.05,2013,2015,ISD,
132,63.08,25.86,1973,2019,ISD,
98.5,63.01,27.79,1906,2019,ISD,
77,61.2,28.46,1973,2019,ISD,
19.2,63.75,22.51,2004,2019,ISD,
159.7,62.53,24.21,1973,2019,ISD,
92,62.7,22.83,1992,1992,ISD,
91.7,62.69,22.83,1999,2019,ISD,
10.1,61.48,21.78,2012,2019,ISD,
227,62.52,24.8,2013,2019,ISD,
81,62.6,29.71,2013,2019,ISD,
121.3,62.66,29.6,1952,2019,ISD,
5,62.33,21.18,2013,2019,ISD,
3,60.17,24.95,2012,2015,ISD,
139.9,62.4,25.67,1917,2019,ISD,
39,61.25,22.35,2012,2019,ISD,
156.5,62.77,30.98,2003,2019,ISD,
124.8,61.83,22.46,1952,2019,ISD,
98,61.52,23.75,1973,2019,ISD,
118.9,61.41,23.6,1906,2019,ISD,
146,61.86,24.78,1973,2019,ISD,
144,61.87,24.81,2012,2019,ISD,
100.3,61.69,27.2,1973,2019,ISD,
94.8,61.94,28.94,1984,2019,ISD,
143,60.65,23.8,1973,2019,ISD,
4.5,60.12,21.7,1901,2019,ISD,
13.4,61.46,21.8,1952,2019,ISD,
88.3,62.9,27.63,2012,2019,ISD,
99,60.88,26.93,2013,2019,ISD,
9,63.1,21.63,2012,2019,ISD,
106.4,61.05,28.14,1973,2019,ISD,
104.4,61.05,28.21,2012,2019,ISD,
3.9,60.72,21.03,2004,2019,ISD,
78.7,60.97,25.63,1973,2019,ISD,
103.3,60.9,26.93,1973,2019,ISD,
5.5,60.28,27.18,2004,2019,ISD,
27.9,60.38,27.05,2012,2013,ISD,
5.2,60.12,19.89,1917,2019,ISD,
49.1,60.51,22.26,1901,2019,ISD,
54.6,60.32,24.96,1952,2019,ISD,
17.4,60.26,25.04,1917,2017,ISD,
13.1,60.38,26.96,1952,2019,ISD,
4,60.18,24.95,2008,2019,ISD,
16,59.5,20.35,2004,2019,ISD,
10,59.97,19.95,1973,2019,ISD,
6.8,59.78,21.36,1901,2019,ISD,
6.5,59.77,22.95,1906,2019,ISD,
113,60.52,24.65,2012,2019,ISD,
12,59.93,24.01,1973,2019,ISD,
7.5,60.18,24.78,2015,2019,ISD,
23.3,59.98,25.6,1982,2019,ISD,
20.2,59.95,24.93,2012,2019,ISD,
5,60.3,20.75,1984,2003,ISD,
27.1,60.2,25.63,2004,2019,ISD,
3.5,60.28,26.45,2004,2019,ISD,
15.1,60.3,19.13,2004,2019,ISD,
7,60.4,21.95,2008,2012,ISD,
24,60.2,24.96,2013,2019,ISD,
53,60.85,-0.88,1980,2006,ISD,
15,60.75,-0.85,1973,2019,ISD,
6.1,59.88,-1.29,1977,2019,ISD,
228,60.53,-1.38,1979,2005,ISD,
7,60.45,-1.26,1981,2016,ISD,
24.7,60.43,-1.29,1981,2019,ISD,
285,60.73,-0.81,1981,2002,ISD,
20,60.58,-1.26,1981,2005,ISD,
57,59.53,-1.63,1973,2019,ISD,
11,59.37,-2.41,1978,2006,ISD,
12,59.08,-4.4,1973,2019,ISD,
103,59.12,-5.81,1990,2009,ISD,
13,60.12,-2.06,1984,2016,ISD,
15.5,58.96,-2.9,1973,2019,ISD,
11.3,53.58,-3.05,2005,2019,ISD,
8,57.82,-8.56,1975,1990,ISD,
5.8,57.48,-7.36,1973,2019,ISD,
4,57.33,-7.36,1992,2019,ISD,
10,56.97,-6.68,1986,2005,ISD,
23,58.52,-6.26,1983,2005,ISD,
7.9,58.22,-6.33,1929,2019,ISD,
21,57.42,-6.78,1980,1990,ISD,
264,57.72,-4.88,1992,2019,ISD,
16,57.87,-5.81,1973,1978,ISD,
10,57.87,-5.63,1986,2019,ISD,
3,57.03,-7.45,1987,2007,ISD,
20,56.83,-5.1,1973,2002,ISD,
773,57.42,-5.68,1989,2019,ISD,
