,LAPSE,LW_IN_AVG,PRESS,REF_WS,REF_Z,RH,RH_err,SW_IN_AVG,SW_OUT_AVG,SW_err,T_109,T_HMP,T_err,WS_AVG
2019-06-08 03:00:00,-0.006634,127.870128,338.830937,17.080000,7945.000000,26.701121,105.737164,845.192949,676.154359,108.371319,-23.543770,-23.543770,7.688144,19.608431
2019-06-08 04:00:00,-0.006656,133.115507,338.878681,18.160000,7945.000000,32.086676,97.270617,1047.183179,837.746543,40.317531,-22.893680,-22.893680,7.658774,20.853386
2019-06-08 05:00:00,-0.006692,135.703403,339.337003,16.850000,7945.000000,33.771859,97.953239,1211.219767,968.975813,107.494058,-22.226260,-22.226260,7.823770,19.278470
2019-06-08 06:00:00,-0.006726,141.117201,339.241149,16.310000,7945.000000,37.779657,104.547217,1251.922853,1001.538282,137.286023,-21.017030,-21.017030,7.931125,18.687566
2019-06-08 07:00:00,-0.006743,143.185826,339.186818,15.790000,7945.000000,39.091119,99.513781,1222.741724,978.193379,154.549695,-20.482415,-20.482415,7.925289,18.127356
2019-06-08 08:00:00,-0.006756,149.751912,338.630089,15.230000,7945.000000,47.427638,82.507800,1132.834931,906.267945,139.845373,-20.254180,-20.254180,7.851989,17.508856
2019-06-08 09:00:00,-0.006758,152.628467,338.779794,15.030000,7945.000000,50.482228,81.049501,983.649137,786.919310,106.286776,-19.945990,-19.945990,7.776838,17.333027
2019-06-08 10:00:00,-0.006757,150.470683,338.513235,15.400000,7945.000000,48.242481,76.457004,784.617989,627.694392,70.208191,-20.195085,-20.195085,7.781506,17.737434
2019-06-08 11:00:00,-0.006773,139.844563,338.377691,16.030000,7945.000000,35.647500,104.315409,546.404627,437.123702,56.215854,-20.879565,-20.879565,7.697917,18.459671
2019-06-08 12:00:00,-0.006787,137.921300,338.197115,17.410000,7945.000000,33.164190,111.455991,284.971100,227.976880,29.901977,-20.932235,-20.932235,7.633934,20.149696
2019-06-08 13:00:00,-0.006793,137.340745,338.451982,17.180000,7945.000000,33.178025,105.116139,17.660439,14.128351,1.702929,-21.217665,-21.217665,7.521235,19.663082
2019-06-08 14:00:00,-0.006792,137.266099,338.791364,14.480000,7945.000000,35.688838,97.312216,0.000000,0.000000,0.000000,-22.146760,-22.146760,7.351384,16.568156
2019-06-08 15:00:00,-0.006786,139.144348,338.956625,13.950000,7945.000000,39.193905,86.904532,0.000000,0.000000,0.000000,-22.481330,-22.481330,7.202422,15.852155
2019-06-08 16:00:00,-0.006781,136.492710,339.147887,12.500000,7945.000000,37.299855,81.061841,0.000000,0.000000,0.000000,-23.106805,-23.106805,7.033263,14.281196
2019-06-08 17:00:00,-0.006769,139.625066,339.094105,10.650000,7945.000000,43.677226,78.576861,0.000000,0.000000,0.000000,-23.865945,-23.865945,6.758254,11.997235
2019-06-08 18:00:00,-0.006753,144.649267,338.538710,11.260000,7945.000000,53.401528,87.738946,0.000000,0.000000,0.000000,-24.911465,-24.911465,6.468209,12.712646
2019-06-08 19:00:00,-0.006737,148.788395,338.152010,11.950000,7945.000000,58.079458,71.447374,0.000000,0.000000,0.000000,-24.546985,-24.546985,6.189647,13.525040
2019-06-08 20:00:00,-0.006723,151.200607,337.802332,12.370000,7945.000000,61.673080,86.838817,0.000000,0.000000,0.000000,-24.654315,-24.654315,5.985427,13.961904
2019-06-08 21:00:00,-0.006710,135.748207,337.379077,12.710000,7945.000000,41.030062,64.460653,0.000000,0.000000,0.000000,-24.842550,-24.842550,5.744488,14.453905
2019-06-08 22:00:00,-0.006707,126.019371,337.014010,15.090000,7945.000000,28.812044,74.031260,0.000000,0.000000,0.000000,-25.249835,-25.249835,5.538787,17.202307
2019-06-08 23:00:00,-0.006706,122.950072,336.741286,17.320000,7945.000000,24.742625,74.666530,0.000000,0.000000,0.000000,-25.298930,-25.298930,5.498965,19.680026
2019-06-09 00:00:00,-0.006701,125.932930,337.142574,18.230000,7945.000000,29.378568,66.462422,175.669157,140.535325,9.661629,-25.504405,-25.504405,5.377854,20.548434
2019-06-09 01:00:00,-0.006707,129.762280,337.104864,16.810000,7945.000000,33.801071,85.484433,448.414574,358.731659,31.482315,-25.199835,-25.199835,5.140820,18.910788
2019-06-09 02:00:00,-0.006715,133.659722,337.135505,17.420000,7945.000000,38.832191,84.276101,705.519972,564.415978,50.680778,-25.087075,-25.087075,5.015838,19.635499
2019-06-09 03:00:00,-0.006718,128.885246,337.762855,17.010000,7945.000000,31.383831,81.363776,929.880428,743.904342,67.198439,-24.749790,-24.749790,4.938465,19.074328
2019-06-09 04:00:00,-0.006727,135.122511,337.510387,16.470000,7945.000000,39.374378,97.921814,1107.470647,885.976518,79.360429,-24.547935,-24.547935,4.899124,18.532804
2019-06-09 05:00:00,-0.006734,137.337747,337.941087,15.710000,7945.000000,41.252694,81.924986,1225.025856,980.020685,97.449574,-24.124270,-24.124270,4.744504,17.689126
2019-06-09 06:00:00,-0.006748,122.430566,337.989763,14.050000,7945.000000,19.949994,56.492324,1276.757735,1021.406188,110.813401,-23.796940,-23.796940,4.619400,15.794994
2019-06-09 07:00:00,-0.006758,119.953640,337.750238,14.730000,7945.000000,14.435447,48.035520,1266.332177,1013.065742,80.514638,-23.025990,-23.025990,4.674942,16.583217
2019-06-09 08:00:00,-0.006765,121.199101,337.604740,12.440000,7945.000000,13.569905,52.188306,1177.795931,942.236745,69.255617,-22.102325,-22.102325,4.623347,14.070785
2019-06-09 09:00:00,-0.006764,135.598755,337.703101,14.270000,7945.000000,29.954094,86.074519,1020.505059,816.404047,47.720397,-20.921420,-20.921420,4.604578,16.280346
2019-06-09 10:00:00,-0.006761,144.801026,337.274660,15.030000,7945.000000,41.605256,74.271549,813.435944,650.748755,25.381912,-20.588705,-20.588705,4.534609,17.255705
2019-06-09 11:00:00,-0.006750,179.773293,337.201387,12.500000,7945.000000,72.923654,18.479222,567.125473,453.700378,20.246697,-20.448750,-20.448750,4.480240,14.116263
2019-06-09 12:00:00,-0.006726,180.945653,337.513311,13.080000,7945.000000,73.430523,22.876604,294.761035,235.808828,28.214258,-20.417030,-20.417030,4.253782,14.738721
2019-06-09 13:00:00,-0.006695,194.979405,338.052686,11.280000,7945.000000,80.393602,14.183670,19.294449,15.435559,2.380244,-20.658975,-20.658975,4.052646,12.732884
2019-06-09 14:00:00,-0.006664,170.634733,338.214410,8.240000,7945.000000,79.385750,22.966772,0.000000,0.000000,0.000000,-21.440920,-21.440920,3.906790,9.295501
2019-06-09 15:00:00,-0.006629,195.244627,338.477315,8.970000,7945.000000,81.506811,5.539676,0.000000,0.000000,0.000000,-21.349245,-21.349245,3.755805,10.125615
2019-06-09 16:00:00,-0.006595,198.720864,338.541326,8.220000,7945.000000,83.854986,4.973252,0.000000,0.000000,0.000000,-21.848475,-21.848475,3.649101,9.285005
2019-06-09 17:00:00,-0.006562,194.035917,338.298774,8.810000,7945.000000,82.662993,19.692262,0.000000,0.000000,0.000000,-22.568610,-22.568610,3.581139,10.079378
2019-06-09 18:00:00,-0.006547,144.468541,337.827213,9.080000,8430.000000,52.878746,41.400062,0.000000,0.000000,0.000000,-24.809740,-24.809740,3.606408,9.539527
2019-06-09 19:00:00,-0.006532,164.428736,337.327830,9.240000,8430.000000,79.670528,23.142837,0.000000,0.000000,0.000000,-24.613440,-24.613440,3.566223,9.695682
2019-06-09 20:00:00,-0.006514,127.240071,337.046403,10.310000,8430.000000,27.870636,71.437283,0.000000,0.000000,0.000000,-24.285880,-24.285880,3.382616,10.924322
2019-06-09 21:00:00,-0.006501,125.572426,336.569035,8.980000,7945.000000,25.553735,42.350769,0.000000,0.000000,0.000000,-24.273405,-24.273405,3.316148,10.101250
2019-06-09 22:00:00,-0.006489,133.367207,336.579871,10.040000,7945.000000,36.112831,53.809284,0.000000,0.000000,0.000000,-24.232545,-24.232545,3.272835,11.331167
2019-06-09 23:00:00,-0.006466,141.417899,336.615022,10.190000,8430.000000,51.089729,67.229814,0.000000,0.000000,0.000000,-25.695720,-25.695720,3.024133,10.708974
2019-06-10 00:00:00,-0.006451,169.624838,336.569194,14.550000,8430.000000,74.509437,50.485717,182.848283,146.278627,22.020340,-24.989420,-24.989420,2.824267,15.395369
2019-06-10 01:00:00,-0.006439,142.240897,336.969065,14.250000,8430.000000,51.003506,60.521561,456.837290,365.469832,51.537535,-25.244380,-25.244380,2.781120,15.062985
2019-06-10 02:00:00,-0.006427,107.916768,337.064357,13.480000,8430.000000,6.174601,27.208727,717.300112,573.840089,80.598615,-26.049340,-26.049340,2.816457,14.169292
2019-06-10 03:00:00,-0.006421,103.177407,337.169928,11.150000,8430.000000,0.000000,36.429492,945.447825,756.358260,107.516354,-26.166820,-26.166820,2.864613,11.710851
2019-06-10 04:00:00,-0.006420,112.675361,337.343660,10.110000,7945.000000,8.814624,42.414977,1127.066587,901.653269,131.372785,-24.610100,-24.610100,2.894374,11.451065
2019-06-10 05:00:00,-0.006412,126.628824,337.549814,10.960000,7945.000000,26.534427,77.981326,1251.715990,1001.372792,136.964808,-24.102860,-24.102860,2.926286,12.530642
2019-06-10 06:00:00,-0.006401,135.552470,337.635070,9.810000,7945.000000,36.471519,83.859586,1310.412106,1048.329685,123.173654,-23.272905,-23.272905,2.900481,11.164156
2019-06-10 07:00:00,-0.006379,140.172725,337.829557,10.370000,7945.000000,39.545376,100.001028,1293.213223,1034.570579,111.916288,-22.102995,-22.102995,2.737336,11.813752
2019-06-10 08:00:00,-0.006376,137.333513,337.634485,9.120000,7945.000000,32.722619,55.223180,1195.114699,956.091760,123.693303,-21.060280,-21.060280,2.722733,10.336757
